experiment,rounds,basis,quantum_computer,qiskit_depth,transpiled_depth,qiskit_two_qubit,transpiled_two_qubit,added_two_qubit,swap_count,native_code_edges,routed_code_edges,expected_swap_count_from_mapping,job_id
surface_code_hardware,1,memory_x,emerald,7,9,24,24,0,0,,,,019e9fa6-c559-77a0-821e-462fcebccfba
surface_code_hardware,1,memory_z,emerald,7,9,24,24,0,0,,,,019e9fa6-c559-77a0-821e-462fcebccfba
surface_code_hardware,3,memory_x,emerald,23,27,72,72,0,0,,,,019e9fa6-c559-77a0-821e-462fcebccfba
surface_code_hardware,3,memory_z,emerald,23,27,72,72,0,0,,,,019e9fa6-c559-77a0-821e-462fcebccfba
surface_code_hardware,5,memory_x,emerald,39,43,120,120,0,0,,,,019e9fa6-c559-77a0-821e-462fcebccfba
surface_code_hardware,5,memory_z,emerald,39,43,120,120,0,0,,,,019e9fa6-c559-77a0-821e-462fcebccfba
surface_code_hardware,7,memory_x,emerald,55,59,168,168,0,0,,,,019e9fa6-c559-77a0-821e-462fcebccfba
surface_code_hardware,7,memory_z,emerald,55,59,168,168,0,0,,,,019e9fa6-c559-77a0-821e-462fcebccfba
repetition_code_hardware_garnet,1,memory_z,garnet,3,22,4,19,15,0,1,3,6,019ea0bf-be09-7130-b3a5-ac13e7da9c4a
repetition_code_hardware_garnet,17,memory_z,garnet,67,112,68,87,19,0,1,3,6,019ea0bf-be09-7130-b3a5-ac13e7da9c4a
repetition_code_hardware_garnet,26,memory_z,garnet,103,166,104,123,19,0,1,3,6,019ea0bf-be09-7130-b3a5-ac13e7da9c4a
repetition_code_hardware_garnet,34,memory_z,garnet,135,214,136,155,19,0,1,3,6,019ea0bf-be09-7130-b3a5-ac13e7da9c4a
repetition_code_hardware_garnet,42,memory_z,garnet,167,262,168,187,19,0,1,3,6,019ea0bf-be09-7130-b3a5-ac13e7da9c4a
repetition_code_hardware_garnet,50,memory_z,garnet,199,310,200,219,19,0,1,3,6,019ea0bf-be09-7130-b3a5-ac13e7da9c4a
repetition_code_hardware_garnet,9,memory_z,garnet,35,64,36,55,19,0,1,3,6,019ea0bf-be09-7130-b3a5-ac13e7da9c4a
